state,year,district,block,block_no,gram_panchayat,gp_no,ward_no,seat_no,seat_id_raw,seat_from_image,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,vacant,reservation_raw,script,source_path,source_page,source_pdf
Jharkhand,2015,Garhwa,,,सुण्डी,,,,I x<+ok@01@01&lq.Mh,,gp_head,mukhiya,Woman,NONE,1,जनकराज देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,राजी,,,,I x<+ok@01@02&jkth,,gp_head,mukhiya,ST Other than Woman,ST,0,जमुनी देवी,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,खरौन्धी,,,,I x<+ok@01@03&[kjkSU/kh,,gp_head,mukhiya,SC Other than Woman,SC,0,उपेन्द्र कुमार राम,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,मझिगांवा,,,,I x<+ok@01@04&ef>xkaok,,gp_head,mukhiya,Woman,NONE,1,सुनीता देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,चन्दनी,,,,I x<+ok@01@05&pUnuh,,gp_head,mukhiya,Woman,NONE,1,दुर्गावती देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,करीवाडीह,,,,I x<+ok@01@06&djhokMhg,,gp_head,mukhiya,Woman,NONE,1,श्रीमती देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,सिसरी,,,,I x<+ok@01@07&flljh,,gp_head,mukhiya,Other than Woman,NONE,0,महेन्द्र साह,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,कूपा,,,,I x<+ok@01@09&dwik,,gp_head,mukhiya,BC Other than Woman,BC,0,बैजू साह,0,vU; fiNM+k oxZ | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,परतीकुशवानी,,,,I x<+ok@02@01 & ijrhdq'kokuh,,gp_head,mukhiya,ST Other than Woman,ST,0,चंदर देव उरांव,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,बलीगढ़,,,,I x<+ok@02@02 & cyhx<+,,gp_head,mukhiya,Other than Woman,NONE,0,सुरेन्द्र प्रसाद यादव,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
Jharkhand,2015,Garhwa,,,केतार,,,,I x<+ok@02@03 & dsrkj,,gp_head,mukhiya,Woman,NONE,1,सुनीता देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA MUKHIYA.pdf,1,GARHWA MUKHIYA.pdf
