DISTRICT,PANCHAYATSAMITI,GRAMPANCHAYAT,ward_category,Name of Sarpanch,Sex,Category
AJMER,ARAI,AJGARA,GENW,Madhu kanwar,F,GENW
AJMER,ARAI,AKODIYA,GENW,lada,F,OBCW
AJMER,ARAI,ARAI,GEN,Bhanwar Gopal,M,GEN
AJMER,ARAI,BHAGW ANPURA,SC,Prahalad Balai,M,SC
AJMER,ARAI,BHAMOLAW,GENW,Ajay Durgesh Kanwar,F,GENW
AJMER,ARAI,BHOGADEET,OBC,Ramdev,M,OBC
AJMER,ARAI,BIRL A,OBCW,Heera Devi,F,OBCW
AJMER,ARAI,BORADA,GEN,Ram Singh,M,OBC
AJMER,ARAI,CHHOTA LAMBA,GENW,kamla Bairwa,F,SCW
AJMER,ARAI,DADIYA,SCW,Sugni Devi,F,SCW
AJMER,ARAI,DEVPURI,ST,Ram ji lal,M,ST
AJMER,ARAI,DHASUK,OBCW,Norti,F,OBCW
AJMER,ARAI,FATEHGARH,OBCW,Govind kanwar,F,OBCW
AJMER,ARAI,GOTHIYANA,GEN,Hem Kanwar,F,GENW
AJMER,ARAI,HARPURA,SCW,manju,F,SCW
AJMER,ARAI,HINGONIY A,GEN,Baby kanwar,F,GENW
AJMER,ARAI,JHEEROT A,GEN,Umrav jain,M,GEN
AJMER,ARAI,KALANADA,GEN,Laxman,M,OBC
AJMER,ARAI,KASEER,SC,Devi Lal,M,SC
AJMER,ARAI,KATSURA,GENW,Kannot,F,OBCW
AJMER,ARAI,KHEERIY A,GENW,Rekha Toshniwal,F,GENW
AJMER,ARAI,LALLAI,GEN,Shiv raj gurjar,M,OBC
AJMER,ARAI,MANDAWARIYA,GEN,Suresh,M,GEN
AJMER,ARAI,MANOHARPURA,SC,Rang Lal,M,SC
AJMER,ARAI,RAMP ALI,GEN,Subhash jain,M,GEN
AJMER,ARAI,SANDOLIY A,SCW,Lada Devi,F,SCW
AJMER,ARAI,SANPLA,GENW,Madhu Devi,F,GENW
AJMER,ARAI,SIRONJ,OBC,Hariram,M,OBC
AJMER,ARAI,SOONP A,GENW,Chandra Kiran,F,GENW
AJMER,ARAI,SYAR,OBC,Gheesa Lal,M,OBC
AJMER,BHINAY,BADALI,GENW,Nima Kanwar,F,GENW
AJMER,BHINAY,BADGAON,SC,Bhim Raj Nayak,M,SC
AJMER,BHINAY,BANDANW ARA,GEN,Vikram Singh,M,GEN
AJMER,BHINAY,BAROL,SC,Gyanchand Bairwa,M,SC
AJMER,BHINAY,BHAGW ANTPURA,GEN,Panchi Devi,F,OBCW
AJMER,BHINAY,BHINAY,GEN,Vijay Dhabai,M,OBC
AJMER,BHINAY,BOOBKIY A,SC,Rukama,F,SCW
AJMER,BHINAY,CHACHUNDRA,OBC,Har Lal Gurjar,M,OBC
AJMER,BHINAY,CHAP ANERI,GEN,Jitendra Jain,M,GEN
AJMER,BHINAY,DABRELA,SCW,Choti Devi,F,SCW
AJMER,BHINAY,DEVLIYAKALAN,OBC,Ram Swaroop,M,OBC
AJMER,BHINAY,DHANTOL,SC,Raju Lal Bairwa,M,SC
AJMER,BHINAY,EKALSINHA,GENW,Chand Kanwar,F,GENW
AJMER,BHINAY,GOYALA,GENW,Hemi Devi Gurjar,F,OBCW
AJMER,BHINAY,GUDHAKHURD,GEN,Udaram Gujar,M,OBC
AJMER,BHINAY,JOTAYA,OBCW,Jamila Pinara,F,OBCW
AJMER,BHINAY,KANEIKALAN,GEN,Shiv Raj Singh,M,GEN
,,,,,,
132,,,,,,
,,,,,,
DETAILS OF ELECTED SARPANCH,,,,,,
,,,,,,
W ard,,,,,,
DISTRICT PANCHAYATSAMITI GRAMPANCHAYAT category NameofSARPANCH Sex Category,,,,,,
AJMER,BHINAY,KARANTI,OBC,Gyarsi Lal,M,OBC
AJMER,BHINAY,KEBANIY A,OBC,Bhala Ram Gujar,M,OBC
AJMER,BHINAY,KEROT,GENW,Nina Kanwar,F,GENW
AJMER,BHINAY,KUMHARIY A,GENW,Lada Devi,F,GENW
AJMER,BHINAY,LAMGARA,OBCW,Geeta Devi Jat,F,OBCW
AJMER,BHINAY,NAGOLA,ST,Bhagu Bheel,M,ST
AJMER,BHINAY,NANDSI,GEN,Paravti Devi,F,GENW
AJMER,BHINAY,PADANGA,SCW,Dhani Devi,F,SCW
AJMER,BHINAY,PADLIYA,STW,Chooti Devi,F,STW
AJMER,BHINAY,RAMMALIYA,GENW,Indra Devi Jat,F,OBCW
AJMER,BHINAY,RATAKOT,GEN,Mohammed Rasid,M,GEN
AJMER,BHINAY,SARANA,SCW,Radha Devi,F,SCW
AJMER,BHINAY,SATOLAV,GENW,Ramdhani Gujar,F,OBCW
AJMER,BHINAY,SHERGARH,GEN,Bhupendra Pratap Singh,M,GEN
AJMER,BHINAY,SHOKALIY A,GEN,Gopal Singh Rathore,M,GEN
AJMER,BHINAY,SINGAWAL,OBCW,Nosar Devi,F,OBCW
AJMER,BHINAY,SOBARI,GENW,Nihali Devi,F,OBCW
AJMER,BHINAY,TANTOTI,GENW,Pratap Kanwar,F,GENW
AJMER,JAW AJA,AASAN,GEN,ganpat singh,M,OBC
AJMER,JAW AJA,ATEETMAND,GEN,pratap rawat,M,OBC
AJMER,JAW AJA,BADAKHEDA @ KHERAKALAN,SCW,Asha Devi,F,SCW
AJMER,JAW AJA,BADKHOCHRA,GENW,keshi Rawa,F,OBCW
AJMER,JAW AJA,BALAD,GENW,Meni,F,OBCW
AJMER,JAW AJA,BAMANHEDA,GENW,Tara Devi,F,OBCW
AJMER,JAW AJA,BANJARI,GEN,Ram singh,M,OBC
AJMER,JAW AJA,BARAKHED,GENW,Doli Chouhan,F,OBCW
AJMER,JAW AJA,BEAW ARKHAS,GEN,Umrav,M,GEN
AJMER,JAW AJA,DELWARA,GENW,Umra kathat,F,OBCW
AJMER,JAW AJA,DEWATA,OBCW,pani devi,F,OBCW
AJMER,JAW AJA,DURGAWAS,GENW,sneh lata,F,OBCW
AJMER,JAW AJA,GOHANA,GENW,meera devi,F,OBCW
AJMER,JAW AJA,JALIYA FIRST,OBCW,sartaj,F,OBCW
AJMER,JAW AJA,JAW AJA,SC,Vinod Kumar,M,SC
AJMER,JAW AJA,KABRA,GENW,sohni devi,F,GENW
AJMER,JAW AJA,KISHANPURA,OBC,Badami Devi,F,OBCW
AJMER,JAW AJA,KOTRA,GEN,Ladu Singh,M,OBC
AJMER,JAW AJA,LOTIYANA,GENW,Lila Chouhan,F,OBCW
AJMER,JAW AJA,MALATON KI BAIR,GEN,Ganpat Singh,M,OBC
AJMER,JAW AJA,MALPURA,GEN,Narendar Singh,M,OBC
