District,PanchayatSamiti,NameOfGramPanchyat,CategoryOfGramPanchyat
BARMER,AADEL,Arjun ki dhani,SC
BARMER,AADEL,Adarsh Aadel,OBC
BARMER,AADEL,Adele,General (Woman)
BARMER,AADEL,Ankhiya,OBC (Woman)
BARMER,AADEL,Band,General (Woman)
BARMER,AADEL,Bhambhu Nagar,General (Woman)
BARMER,AADEL,Chhotu,General (Woman)
BARMER,AADEL,Dholanada,General (Woman)
BARMER,AADEL,Dholpalia nada,ST
BARMER,AADEL,Goliya Jetmal,OBC (Woman)
BARMER,AADEL,Khariya Khurd,SC
BARMER,AADEL,Malpura,SC
BARMER,AADEL,Mangle Ki Beri,General (Woman)
BARMER,AADEL,Mithi Beri,OBC (Woman)
BARMER,AADEL,Nimble coat,General
BARMER,AADEL,Nokhara,General
BARMER,AADEL,Ranasar Khurd,OBC
BARMER,AADEL,Sadecha,General
BARMER,AADEL,Asuo ki dhani,OBC
BARMER,AADEL,Khardi Berry,General
JAIPUR,AANDHII,Aandhi,General (Woman)
JAIPUR,AANDHII,Bahlod,General
JAIPUR,AANDHII,Bhavni,General
JAIPUR,AANDHII,Birasana,ST
JAIPUR,AANDHII,Chawandia,General (Woman)
JAIPUR,AANDHII,Dagota,ST (Woman)
JAIPUR,AANDHII,Dangarwada,General
JAIPUR,AANDHII,Devitala,ST
JAIPUR,AANDHII,Dhamasya,General
JAIPUR,AANDHII,Dhularavaji,ST (Woman)
JAIPUR,AANDHII,Futolav,ST
JAIPUR,AANDHII,GANWALI,SC
JAIPUR,AANDHII,Kela Ka Bass,ST (Woman)
JAIPUR,AANDHII,KOLIWADA,SC (Woman)
JAIPUR,AANDHII,Lalwas,General
JAIPUR,AANDHII,Mahngi,General (Woman)
JAIPUR,AANDHII,Mathasula,General
JAIPUR,AANDHII,Neemala,General (Woman)
JAIPUR,AANDHII,Never,General (Woman)
JAIPUR,AANDHII,Raipur,ST (Woman)
JAIPUR,AANDHII,Raiser,OBC
JAIPUR,AANDHII,Ramyavala,SC (Woman)
JAIPUR,AANDHII,Saipur,SC
JAIPUR,AANDHII,Sankotada,General (Woman)
JAIPUR,AANDHII,Thali,General (Woman)
JAIPUR,AANDHII,Thoulai,ST
JODHPUR,AAU,Aau,SC
JODHPUR,AAU,Barsingo Ka bass,OBC (Woman)
JODHPUR,AAU,Denok,General (Woman)
