sl_no_2015,dist_name_2015,samiti_name_2015,gp_2015,reservation_2015,name_2015,sex_2015,category_2015,gp_new_2015,dist_name_new_2015,samiti_name_new_2015,key_2015,sl_no_2005,dist_name_2005,samiti_name_2005,gp_2005,reservation_2005,name_2005,sex_2005,category_2005,gp_new_2005,dist_name_new_2005,samiti_name_new_2005,dist_2010_2005,key_2005,sl_no_2010,dist_name_2010,samiti_name_2010,gp_2010,reservation_2010,name_2010,sex_2010,category_2010,gp_new_2010,dist_name_new_2010,samiti_name_new_2010,key_2010,dist_05_10,nuke_05_10,dist
9346,UDAIPUR,BHINDER,AMARPURA (JA),General (Woman),SOSAR DEVI,NA,ST (Woman),amarpura (ja),UDAIPUR,BHINDAR,UDAIPURBHINDARamarpura (ja),8708,UDAIPUR,BHINDER,AMARPURA,GEN,CHAMPA LAL,MALE,OBC,amarpura (ja),UDAIPUR,BHINDAR,NA,UDAIPURBHINDARamarpura (ja),8727,UDAIPUR,BHINDAR,AMARPURA (JA),GEN,Pratap,M,ST,amarpura (ja),UDAIPUR,BHINDAR,UDAIPURBHINDARamarpura (ja),0,NA,0
9347,UDAIPUR,BHINDER,AMARPURA (KHA),General (Woman),RAJKUMARI,NA,General (Woman),amarpura (kha),UDAIPUR,BHINDAR,UDAIPURBHINDARamarpura (kha),8709,UDAIPUR,BHINDER,AMARPURA 'KHA',GEN,ASHOK KUMAR,MALE,GEN,amarpura (kha),UDAIPUR,BHINDAR,NA,UDAIPURBHINDARamarpura (kha),8728,UDAIPUR,BHINDAR,AMARPURA (KHA),GENW,Meena Kunwar,F,GENW,amarpura (kha),UDAIPUR,BHINDAR,UDAIPURBHINDARamarpura (kha),0,NA,0
9348,UDAIPUR,BHINDER,BADGAON,ST (Woman),BHAWNA KUMARI MEENA,NA,ST (Woman),badgaon,UDAIPUR,BHINDAR,UDAIPURBHINDARbadgaon,8710,UDAIPUR,BHINDER,BADGAON,GEN W,RAM KUNWAR,FEMALE,GEN,badgaon,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbadgaon,8729,UDAIPUR,BHINDAR,BADGAON,GEN,Fateh Singh Devara,M,GEN,badgaon,UDAIPUR,BHINDAR,UDAIPURBHINDARbadgaon,0,NA,0
9349,UDAIPUR,BHINDER,BAGAR,General,CHAMPA LAL,NA,General,bagar,UDAIPUR,BHINDAR,UDAIPURBHINDARbagar,8711,UDAIPUR,BHINDER,BAGGAD,OBC W,MANKI BAI,FEMALE,OBC,baggad,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbaggad,8730,UDAIPUR,BHINDAR,BAGAR,GEN,Kalu Lal,M,OBC,bagar,UDAIPUR,BHINDAR,UDAIPURBHINDARbagar,2,NA,0
9350,UDAIPUR,BHINDER,BALA THAL,SC,MANGI LAL MEGHWAL,NA,SC,bala thal,UDAIPUR,BHINDAR,UDAIPURBHINDARbala thal,8712,UDAIPUR,BHINDER,BALATHAL,ST,BABU LAL,MALE,ST,balathal,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbalathal,8731,UDAIPUR,BHINDAR,BALATHAL,GENW,Samari,F,OBCW,balathal,UDAIPUR,BHINDAR,UDAIPURBHINDARbalathal,0,NA,1
9351,UDAIPUR,BHINDER,BANSRA,SC,MUKESH KUMAR KHATIK,NA,SC,bansra,UDAIPUR,BHINDAR,UDAIPURBHINDARbansra,8714,UDAIPUR,BHINDER,BANSDA,GEN,GANPAT LAL,MALE,GEN,bansra,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbansra,8732,UDAIPUR,BHINDAR,BANSRA,STW,Sakudi,F,STW,bansra,UDAIPUR,BHINDAR,UDAIPURBHINDARbansra,0,NA,0
9352,UDAIPUR,BHINDER,BARORIYA,OBC,KAMLESH GIRI,NA,OBC,baroriya,UDAIPUR,BHINDAR,UDAIPURBHINDARbaroriya,8715,UDAIPUR,BHINDER,BARODIYA,GEN,JORAWAR SINGH,MALE,GEN,barodiya,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbarodiya,8733,UDAIPUR,BHINDAR,BARORIY A,STW,Ganga Bai,F,STW,baroriya,UDAIPUR,BHINDAR,UDAIPURBHINDARbaroriya,1,NA,0
9353,UDAIPUR,BHINDER,BATHARDA KALAN,General (Woman),VISHNU KUNWAR,NA,General (Woman),batharda kalan,UDAIPUR,BHINDAR,UDAIPURBHINDARbatharda kalan,8717,UDAIPUR,BHINDER,BATHERDA KALAN,SC W,MANGI BAI,FEMALE,SC,batharda kalan,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbatharda kalan,8734,UDAIPUR,BHINDAR,BATHARDA KALAN,OBCW,Leela Devi,F,OBCW,batharda kalan,UDAIPUR,BHINDAR,UDAIPURBHINDARbatharda kalan,0,NA,0
9354,UDAIPUR,BHINDER,BATHARDA KHURD,ST,NARAYAN LAL MEENA,NA,ST,batharda khurd,UDAIPUR,BHINDAR,UDAIPURBHINDARbatharda khurd,8716,UDAIPUR,BHINDER,BATHARDA KHURD,GEN,SURESH KUMAR,MALE,GEN,batharda khurd,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbatharda khurd,8735,UDAIPUR,BHINDAR,BATHARDA KHURD,GEN,Megh Raj Swarnkar,M,OBC,batharda khurd,UDAIPUR,BHINDAR,UDAIPURBHINDARbatharda khurd,0,NA,0
9355,UDAIPUR,BHINDER,BHATEWAR,OBC (Woman),MEENA JANWA,NA,OBC (Woman),bhatewar,UDAIPUR,BHINDAR,UDAIPURBHINDARbhatewar,8718,UDAIPUR,BHINDER,BHATEWAR,OBC,VENIRAM,MALE,OBC,bhatewar,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbhatewar,8736,UDAIPUR,BHINDAR,BHATEWAR,SCW,Laxmi Salvi,F,SCW,bhatewar,UDAIPUR,BHINDAR,UDAIPURBHINDARbhatewar,0,NA,0
9356,UDAIPUR,BHINDER,BHOPA KHERA,ST (Woman),DHAPU,NA,ST (Woman),bhopa khera,UDAIPUR,BHINDAR,UDAIPURBHINDARbhopa khera,8719,UDAIPUR,BHINDER,BHOPAKHEDA,OBC W,TEMU,FEMALE,OBC,bhopa khera,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbhopa khera,8737,UDAIPUR,BHINDAR,BHOPA KHERA,GEN,Prithvi Raj Rawat,M,OBC,bhopa khera,UDAIPUR,BHINDAR,UDAIPURBHINDARbhopa khera,0,NA,0
9357,UDAIPUR,BHINDER,CHARGADHIYA,SC,HARSHWARDHAN SALVI,NA,SC,chargadhiya,UDAIPUR,BHINDAR,UDAIPURBHINDARchargadhiya,8720,UDAIPUR,BHINDER,CHARGDIYA,GEN,CHHAGAN LAL,MALE,OBC,chargadhiya,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARchargadhiya,8738,UDAIPUR,BHINDAR,CHARGADHIYA,GEN,Udai Lal Aheer,M,OBC,chargadhiya,UDAIPUR,BHINDAR,UDAIPURBHINDARchargadhiya,0,NA,0
9358,UDAIPUR,BHINDER,DAROLI,General,PRAKASH CHAND DANGI,NA,OBC,daroli,UDAIPUR,BHINDAR,UDAIPURBHINDARdaroli,8721,UDAIPUR,BHINDER,DAROLI,ST,KANA URF KANHIYA LAL,MALE,ST,daroli,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARdaroli,8739,UDAIPUR,BHINDAR,DAROLI,OBCW,Kamala Dangi,F,OBCW,daroli,UDAIPUR,BHINDAR,UDAIPURBHINDARdaroli,0,NA,0
9359,UDAIPUR,BHINDER,DHAMANIYA,General,MANGI LAL,NA,OBC,dhamaniya,UDAIPUR,BHINDAR,UDAIPURBHINDARdhamaniya,8722,UDAIPUR,BHINDER,DHAMANIYA,ST W,PERTABI BAI,FEMALE,ST,dhamaniya,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARdhamaniya,8740,UDAIPUR,BHINDAR,DHAMANIYA,SC,Unkar Lal Meghwal,M,SC,dhamaniya,UDAIPUR,BHINDAR,UDAIPURBHINDARdhamaniya,0,NA,0
9360,UDAIPUR,BHINDER,DHARTA,ST,LALU RAM,NA,ST,dharta,UDAIPUR,BHINDAR,UDAIPURBHINDARdharta,8723,UDAIPUR,BHINDER,DHARTA,GEN W,KALI BAI,FEMALE,OBC,dharta,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARdharta,8741,UDAIPUR,BHINDAR,DHARTA,OBCW,Mithu Bai,F,OBCW,dharta,UDAIPUR,BHINDAR,UDAIPURBHINDARdharta,0,NA,0
9361,UDAIPUR,BHINDER,DHAWA,General,SATYA NARAYAN,NA,General,dhawa,UDAIPUR,BHINDAR,UDAIPURBHINDARdhawa,8725,UDAIPUR,BHINDER,DHAWA,GEN W,JANI BAI,FEMALE,GEN,dhawa,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARdhawa,8742,UDAIPUR,BHINDAR,DHAWA,STW,Anita Meena,F,STW,dhawa,UDAIPUR,BHINDAR,UDAIPURBHINDARdhawa,0,NA,0
9362,UDAIPUR,BHINDER,DHAWARIYA,ST,PREM LAL MEENA,NA,ST,dhawariya,UDAIPUR,BHINDAR,UDAIPURBHINDARdhawariya,8724,UDAIPUR,BHINDER,DHAVDIYA,GEN W,SOVNI BAI,FEMALE,ST,dhawariya,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARdhawariya,8743,UDAIPUR,BHINDAR,DHAWARIYA,OBCW,Chokhli Bai,F,OBCW,dhawariya,UDAIPUR,BHINDAR,UDAIPURBHINDARdhawariya,0,NA,0
9363,UDAIPUR,BHINDER,GOOP ARI,General,MAHENDRA SINGH CHOUHAN,NA,General,goopari,UDAIPUR,BHINDAR,UDAIPURBHINDARgoopari,8727,UDAIPUR,BHINDER,GUPDI,GEN,SAJJAN SINGH,MALE,GEN,goopari,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARgoopari,8744,UDAIPUR,BHINDAR,GOOPARI,ST,Dharma Bheel,M,ST,goopari,UDAIPUR,BHINDAR,UDAIPURBHINDARgoopari,0,NA,0
9364,UDAIPUR,BHINDER,GOTIP A,General (Woman),ASHA RAIBAR,NA,General (Woman),gotipa,UDAIPUR,BHINDAR,UDAIPURBHINDARgotipa,8726,UDAIPUR,BHINDER,GOTIPA,OBC,DUSHYANT SINGH,MALE,OBC,gotipa,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARgotipa,8745,UDAIPUR,BHINDAR,GOTIPA,GENW,Chotu Kunwar,F,GENW,gotipa,UDAIPUR,BHINDAR,UDAIPURBHINDARgotipa,0,NA,0
9365,UDAIPUR,BHINDER,HEENT A,General (Woman),PHOOL KUMARI AHIR,NA,OBC (Woman),heenta,UDAIPUR,BHINDAR,UDAIPURBHINDARheenta,8728,UDAIPUR,BHINDER,HINTA,GEN,KISHAN LAL AHIR,MALE,OBC,heenta,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARheenta,8746,UDAIPUR,BHINDAR,HEENT A,OBC,Kishan Lal,M,OBC,heenta,UDAIPUR,BHINDAR,UDAIPURBHINDARheenta,0,NA,0
9366,UDAIPUR,BHINDER,KARANPUR,OBC (Woman),KRISHNA PATIDAR,NA,OBC (Woman),karanpur,UDAIPUR,BHINDAR,UDAIPURBHINDARkaranpur,8729,UDAIPUR,BHINDER,KARANPUR,SC,JASRAJ,MALE,SC,karanpur,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARkaranpur,8747,UDAIPUR,BHINDAR,KARANPUR,GENW,Kamala,F,OBCW,karanpur,UDAIPUR,BHINDAR,UDAIPURBHINDARkaranpur,0,NA,0
9367,UDAIPUR,BHINDER,KEDARIYA,ST (Woman),MEERA,NA,ST (Woman),kedariya,UDAIPUR,BHINDAR,UDAIPURBHINDARkedariya,8730,UDAIPUR,BHINDER,KEDARIYA,GEN,DHARMA,MALE,OBC,kedariya,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARkedariya,8748,UDAIPUR,BHINDAR,KEDARIYA,OBC,Heera Lal Suthar,M,OBC,kedariya,UDAIPUR,BHINDAR,UDAIPURBHINDARkedariya,0,NA,0
9368,UDAIPUR,BHINDER,KEEKAWAS,General (Woman),KANCHAN DANGI,NA,OBC (Woman),keekawas,UDAIPUR,BHINDAR,UDAIPURBHINDARkeekawas,8733,UDAIPUR,BHINDER,KIKAWAS,ST W,BAGDI,FEMALE,ST,keekawas,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARkeekawas,8749,UDAIPUR,BHINDAR,KEEKAWAS,GEN,Kishan Lal Gurjar,M,OBC,keekawas,UDAIPUR,BHINDAR,UDAIPURBHINDARkeekawas,0,NA,0
9369,UDAIPUR,BHINDER,KHARSAN,General,BHAGWATI LAL,NA,General,kharsan,UDAIPUR,BHINDAR,UDAIPURBHINDARkharsan,8731,UDAIPUR,BHINDER,KHARSAN,GEN,BHAWANI SHANKAR,MALE,GEN,kharsan,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARkharsan,8750,UDAIPUR,BHINDAR,KHARSAN,GEN,Bhagwan Lal Menariya,M,GEN,kharsan,UDAIPUR,BHINDAR,UDAIPURBHINDARkharsan,0,NA,0
9370,UDAIPUR,BHINDER,KHERODA,OBC,DINESH CHANDRA JHANWA,NA,OBC,kheroda,UDAIPUR,BHINDAR,UDAIPURBHINDARkheroda,8732,UDAIPUR,BHINDER,KHERODA,ST W,DEVLI BAI,FEMALE,ST,kheroda,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARkheroda,8751,UDAIPUR,BHINDAR,KHERODA,SC,Bagadi Ram Meghwal,M,SC,kheroda,UDAIPUR,BHINDAR,UDAIPURBHINDARkheroda,0,NA,0
9371,UDAIPUR,BHINDER,KUNDAI,ST (Woman),SITA KUMARI MEENA,NA,ST (Woman),kundai,UDAIPUR,BHINDAR,UDAIPURBHINDARkundai,8735,UDAIPUR,BHINDER,KUNDAI,OBC,PUSHKAR LAL,MALE,OBC,kundai,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARkundai,8752,UDAIPUR,BHINDAR,KUNDAI,GEN,Kishan Singh,M,GEN,kundai,UDAIPUR,BHINDAR,UDAIPURBHINDARkundai,0,NA,0
9372,UDAIPUR,BHINDER,KUNTHW AS,SC (Woman),SAVITA,NA,SC (Woman),kunthwas,UDAIPUR,BHINDAR,UDAIPURBHINDARkunthwas,8734,UDAIPUR,BHINDER,KOONTHWAS,GEN W,PREM BAI,FEMALE,ST,kunthwas,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARkunthwas,8753,UDAIPUR,BHINDAR,KUNTHW AS,OBC,Girdhar Lal,M,OBC,kunthwas,UDAIPUR,BHINDAR,UDAIPURBHINDARkunthwas,0,NA,0
9373,UDAIPUR,BHINDER,LOONANDA,ST,NARAYAN LAL,NA,ST,loonanda,UDAIPUR,BHINDAR,UDAIPURBHINDARloonanda,8736,UDAIPUR,BHINDER,LUNADA,OBC W,BHANWARI BAI,FEMALE,OBC,loonanda,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARloonanda,8754,UDAIPUR,BHINDAR,LOONANDA,GEN,Bharat Singh Krishnawat,M,GEN,loonanda,UDAIPUR,BHINDAR,UDAIPURBHINDARloonanda,0,NA,0
9374,UDAIPUR,BHINDER,MAHARAJ KI KHERI,General,NIRMAL JAIN,NA,General,maharaj ki kheri,UDAIPUR,BHINDAR,UDAIPURBHINDARmaharaj ki kheri,8737,UDAIPUR,BHINDER,MAHARAJ KEE KHEDI,GEN W,GANGA,FEMALE,OBC,maharaj ki kheri,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARmaharaj ki kheri,8755,UDAIPUR,BHINDAR,MAHARAJ KI KHERI,ST,Goma Bheel,M,ST,maharaj ki kheri,UDAIPUR,BHINDAR,UDAIPURBHINDARmaharaj ki kheri,0,NA,0
9375,UDAIPUR,BHINDER,MAJAWARA,General (Woman),MAMTA KUNWAR,NA,General (Woman),majawara,UDAIPUR,BHINDAR,UDAIPURBHINDARmajawara,8738,UDAIPUR,BHINDER,MAJAWADA,SC,RAJKUMAR,MALE,SC,majawada,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARmajawada,8756,UDAIPUR,BHINDAR,MAJAW ARA,ST,Naru,M,ST,majawara,UDAIPUR,BHINDAR,UDAIPURBHINDARmajawara,1,NA,0
9376,UDAIPUR,BHINDER,MALKI TOOS,ST (Woman),VANDANA,NA,ST (Woman),malki toos,UDAIPUR,BHINDAR,UDAIPURBHINDARmalki toos,8739,UDAIPUR,BHINDER,MALKI TOOS,GEN,BHOLI RAM,MALE,GEN,malki toos,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARmalki toos,8757,UDAIPUR,BHINDAR,MALKI TOOS,OBCW,Narbada,F,OBCW,malki toos,UDAIPUR,BHINDAR,UDAIPURBHINDARmalki toos,0,NA,0
9377,UDAIPUR,BHINDER,MENAR,ST,MOHAN LAL MEENA,NA,ST,menar,UDAIPUR,BHINDAR,UDAIPURBHINDARmenar,8740,UDAIPUR,BHINDER,MENAR,GEN W,BHURI BAI,FEMALE,GEN,menar,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARmenar,8758,UDAIPUR,BHINDAR,MENAR,GEN,Unkar Lal Menariya,M,GEN,menar,UDAIPUR,BHINDAR,UDAIPURBHINDARmenar,0,NA,0
9378,UDAIPUR,BHINDER,MODI,OBC (Woman),RASHMI LOHAR,NA,OBC (Woman),modi,UDAIPUR,BHINDAR,UDAIPURBHINDARmodi,8741,UDAIPUR,BHINDER,MODI,ST,MOTI LAL,MALE,ST,modi,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARmodi,8759,UDAIPUR,BHINDAR,MODI,SCW,Bhamari,F,SCW,modi,UDAIPUR,BHINDAR,UDAIPURBHINDARmodi,0,NA,0
9379,UDAIPUR,BHINDER,MOTIDA,General (Woman),BHANWAR KUNWAR,NA,General (Woman),motida,UDAIPUR,BHINDAR,UDAIPURBHINDARmotida,8742,UDAIPUR,BHINDER,MOTIDA,GEN,KISHAN SINGH,MALE,GEN,motida,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARmotida,8760,UDAIPUR,BHINDAR,MOTIDA,GEN,Kishan Singh,M,GEN,motida,UDAIPUR,BHINDAR,UDAIPURBHINDARmotida,0,NA,0
9380,UDAIPUR,BHINDER,NANDWEL,OBC (Woman),DALI BAI,NA,OBC (Woman),nandwel,UDAIPUR,BHINDAR,UDAIPURBHINDARnandwel,8743,UDAIPUR,BHINDER,NANDVAIL,ST,LOGAR,MALE,ST,nandwel,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARnandwel,8761,UDAIPUR,BHINDAR,NANDWEL,GEN,Dali Bai,F,OBCW,nandwel,UDAIPUR,BHINDAR,UDAIPURBHINDARnandwel,0,NA,0
9381,UDAIPUR,BHINDER,NAWANIYA,General (Woman),MEERA JHANWA,NA,General (Woman),nawaniya,UDAIPUR,BHINDAR,UDAIPURBHINDARnawaniya,8744,UDAIPUR,BHINDER,NAWANIYA,GEN,NANALAL,MALE,OBC,nawaniya,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARnawaniya,8762,UDAIPUR,BHINDAR,NAWANIYA,STW,Indira Bheel,F,STW,nawaniya,UDAIPUR,BHINDAR,UDAIPURBHINDARnawaniya,0,NA,0
9382,UDAIPUR,BHINDER,P ANOOND,General,BHANWAR SINGH SHAKTAWAT,NA,General,panoond,UDAIPUR,BHINDAR,UDAIPURBHINDARpanoond,8745,UDAIPUR,BHINDER,PANUD,SC,RAMAJI,MALE,SC,panoond,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARpanoond,8763,UDAIPUR,BHINDAR,PANOOND,ST,Kesu Lal Meena,M,ST,panoond,UDAIPUR,BHINDAR,UDAIPURBHINDARpanoond,0,NA,0
9383,UDAIPUR,BHINDER,PEETHAL PURA,SC (Woman),SNEHLATA MEGHWAL,NA,SC (Woman),peethal pura,UDAIPUR,BHINDAR,UDAIPURBHINDARpeethal pura,8746,UDAIPUR,BHINDER,PITHALPURA,OBC,KISHAN LAL,MALE,OBC,peethal pura,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARpeethal pura,8764,UDAIPUR,BHINDAR,PEETHAL PURA,GENW,Basanti,F,OBCW,peethal pura,UDAIPUR,BHINDAR,UDAIPURBHINDARpeethal pura,0,NA,0
9384,UDAIPUR,BHINDER,RUNDEDA,General (Woman),SHANTA DEVI,NA,General (Woman),rundeda,UDAIPUR,BHINDAR,UDAIPURBHINDARrundeda,8747,UDAIPUR,BHINDER,RUNDEDA,SC W,BHANWARI BAI,FEMALE,SC,rundeda,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARrundeda,8765,UDAIPUR,BHINDAR,RUNDEDA,STW,Ratani Bai,F,STW,rundeda,UDAIPUR,BHINDAR,UDAIPURBHINDARrundeda,0,NA,0
9385,UDAIPUR,BHINDER,SALERA,OBC (Woman),ANNU JHANWA,NA,OBC (Woman),salera,UDAIPUR,BHINDAR,UDAIPURBHINDARsalera,8748,UDAIPUR,BHINDER,SALEDA,OBC,SAMPPAT LAL,MALE,OBC,saleda,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARsaleda,8766,UDAIPUR,BHINDAR,SALERA,GEN,Suraj Mal,M,GEN,salera,UDAIPUR,BHINDAR,UDAIPURBHINDARsalera,1,NA,0
9386,UDAIPUR,BHINDER,SARANGPURA (B),General,MOHAN LAL,NA,OBC,sarangpura (b),UDAIPUR,BHINDAR,UDAIPURBHINDARsarangpura (b),8750,UDAIPUR,BHINDER,SARANGPURA (BHEE),GEN,FEFA,FEMALE,ST,sarangpura (b),UDAIPUR,BHINDAR,NA,UDAIPURBHINDARsarangpura (b),8767,UDAIPUR,BHINDAR,SARANGPURA (B),OBC,Ratan Lal,M,OBC,sarangpura (b),UDAIPUR,BHINDAR,UDAIPURBHINDARsarangpura (b),0,NA,0
9387,UDAIPUR,BHINDER,SARANGPURA (KANORE),General,UDAY LAL,NA,OBC,sarangpura (kanore),UDAIPUR,BHINDAR,UDAIPURBHINDARsarangpura (kanore),8749,UDAIPUR,BHINDER,SARAGPURA KANOD,GEN,DEVI LAL,MALE,OBC,sarangpura (kanore),UDAIPUR,BHINDAR,NA,UDAIPURBHINDARsarangpura (kanore),8768,UDAIPUR,BHINDAR,SARANGPURA (KANORE),GENW,Rambha,F,OBCW,sarangpura (kanore),UDAIPUR,BHINDAR,UDAIPURBHINDARsarangpura (kanore),0,NA,0
9388,UDAIPUR,BHINDER,SAWNA,General,BHAGWATI LAL,NA,ST,sawna,UDAIPUR,BHINDAR,UDAIPURBHINDARsawna,8751,UDAIPUR,BHINDER,SAVNA,GEN W,RAMUDI BAI,FEMALE,ST,sawna,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARsawna,8769,UDAIPUR,BHINDAR,SAWNA,GENW,Raji Devi,F,OBCW,sawna,UDAIPUR,BHINDAR,UDAIPURBHINDARsawna,0,NA,0
9389,UDAIPUR,BHINDER,SIHARD,OBC,BHANWAR LAL REHBARI,NA,OBC,sihard,UDAIPUR,BHINDAR,UDAIPURBHINDARsihard,8752,UDAIPUR,BHINDER,SINHAD,OBC,MANGU SINGH,MALE,OBC,sihard,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARsihard,8770,UDAIPUR,BHINDAR,SIHARD,GENW,Deu Bai,F,STW,sihard,UDAIPUR,BHINDAR,UDAIPURBHINDARsihard,0,NA,0
9390,UDAIPUR,BHINDER,TARAWAT,OBC (Woman),SHANTA DEVI JAT,NA,OBC (Woman),tarawat,UDAIPUR,BHINDAR,UDAIPURBHINDARtarawat,8753,UDAIPUR,BHINDER,TARAWAT,ST,LOGAR LAL,MALE,ST,tarawat,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARtarawat,8771,UDAIPUR,BHINDAR,TARAWAT,GENW,Kamala Jat,F,OBCW,tarawat,UDAIPUR,BHINDAR,UDAIPURBHINDARtarawat,0,NA,0
9391,UDAIPUR,BHINDER,TUS DANGIYAN,General (Woman),KAILASHI DANGI,NA,OBC (Woman),tus dangiyan,UDAIPUR,BHINDAR,UDAIPURBHINDARtus dangiyan,8754,UDAIPUR,BHINDER,TOOSDANGIYAN,ST,LOGAR LAL,MALE,ST,tus dangiyan,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARtus dangiyan,8772,UDAIPUR,BHINDAR,TUS DANGIYAN,GENW,Kalawati Bhat,F,OBCW,tus dangiyan,UDAIPUR,BHINDAR,UDAIPURBHINDARtus dangiyan,0,NA,0
9392,UDAIPUR,BHINDER,VALLABH NAGAR,General,ROOPA GIRI GOSWAMI,NA,OBC,vallabh nagar,UDAIPUR,BHINDAR,UDAIPURBHINDARvallabh nagar,8755,UDAIPUR,BHINDER,VALLABHNAGAR,OBC,KALU LAL,MALE,OBC,vallabh nagar,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARvallabh nagar,8773,UDAIPUR,BHINDAR,VALLABH NAGAR,ST,Sawa Lal Bheel,M,ST,vallabh nagar,UDAIPUR,BHINDAR,UDAIPURBHINDARvallabh nagar,0,NA,0
9393,UDAIPUR,BHINDER,VANA,OBC,UDAI LAL,NA,OBC,vana,UDAIPUR,BHINDAR,UDAIPURBHINDARvana,8713,UDAIPUR,BHINDER,BANA,ST,KANA (KANHIYA LAL),MALE,ST,bana,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARbana,8774,UDAIPUR,BHINDAR,VANA,GENW,Kunta,F,GENW,vana,UDAIPUR,BHINDAR,UDAIPURBHINDARvana,1,NA,0
9394,UDAIPUR,BHINDER,VANIYA TALAI,General (Woman),SHANTA DEVI,NA,OBC (Woman),vaniya talai,UDAIPUR,BHINDAR,UDAIPURBHINDARvaniya talai,8756,UDAIPUR,BHINDER,VANIYATALAI,GEN,KESULAL,MALE,ST,vaniya talai,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARvaniya talai,8775,UDAIPUR,BHINDAR,VANIYA TALAI,GENW,Rodi Bai,F,STW,vaniya talai,UDAIPUR,BHINDAR,UDAIPURBHINDARvaniya talai,0,NA,0
9395,UDAIPUR,BHINDER,W ARNI,General (Woman),INDUBALA,NA,General (Woman),warni,UDAIPUR,BHINDAR,UDAIPURBHINDARwarni,8757,UDAIPUR,BHINDER,VARNI,ST W,PREMI,FEMALE,ST,warni,UDAIPUR,BHINDAR,NA,UDAIPURBHINDARwarni,8776,UDAIPUR,BHINDAR,WARNI,OBC,Bansi Lal Gurjar,M,OBC,warni,UDAIPUR,BHINDAR,UDAIPURBHINDARwarni,0,NA,0
5600,JALORE,BHEENMAL,BAGODA,OBC (Woman),RAKHA DEVI,NA,OBC (Woman),bagoda,JALORE,BHINMAL,JALOREBHINMALbagoda,5303,JALORE,BHINMAL,BAGORA,GEN W,PARU DEVI,FEMALE,GEN,bagora,JALORE,BHINMAL,NA,JALOREBHINMALbagora,5174,JALORE,BHINMAL,BAGODA,OBCW,SUKI DEVI,F,OBCW,bagoda,JALORE,BHINMAL,JALOREBHINMALbagoda,1,NA,0
5601,JALORE,BHEENMAL,BALI,General,RAGHUVEER SINGH,NA,OBC,bali,JALORE,BHINMAL,JALOREBHINMALbali,5304,JALORE,BHINMAL,BALI,GEN,AJIT SINGH,MALE,GEN,bali,JALORE,BHINMAL,NA,JALOREBHINMALbali,5175,JALORE,BHINMAL,BALI,GEN,AJEET SINGH,M,GEN,bali,JALORE,BHINMAL,JALOREBHINMALbali,0,NA,0
